threshold,precision,recall,fp,fn,tp,tn,total_cost
0.75,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.76,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.77,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.78,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.79,0.9782608695652174,0.8411214953271028,2,17,90,239,1088300
0.8,0.9782608695652174,0.8411214953271028,2,17,90,239,1088300
0.81,0.9782608695652174,0.8411214953271028,2,17,90,239,1088300
0.8200000000000001,0.978021978021978,0.8317757009345794,2,18,89,239,1152300
0.8300000000000001,0.978021978021978,0.8317757009345794,2,18,89,239,1152300
0.8400000000000001,0.9777777777777777,0.822429906542056,2,19,88,239,1216300
0.85,0.9775280898876404,0.8130841121495327,2,20,87,239,1280300
0.86,0.9772727272727273,0.8037383177570093,2,21,86,239,1344300
0.87,0.9767441860465116,0.7850467289719626,2,23,84,239,1472300
0.88,0.9767441860465116,0.7850467289719626,2,23,84,239,1472300
0.89,0.9761904761904762,0.7663551401869159,2,25,82,239,1600300
0.9,0.9761904761904762,0.7663551401869159,2,25,82,239,1600300
0.91,0.9761904761904762,0.7663551401869159,2,25,82,239,1600300
0.92,0.9761904761904762,0.7663551401869159,2,25,82,239,1600300
0.93,0.9761904761904762,0.7663551401869159,2,25,82,239,1600300
0.9400000000000001,0.9759036144578314,0.7570093457943925,2,26,81,239,1664300
0.9500000000000001,0.975,0.7289719626168224,2,29,78,239,1856300
